HD,SD,1,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
"101 (Scot, Wales, NI)",101 (Eng),,BBC One,4 national HD & 17 regional SD variations (Virgin unavailable in CI or ScotB),?,?,BBC,24 hours,Player,,
108 (Eng),,,,On-demand,,,,,,,
,165,,Pick,,11,1116,Sky UK Ltd,24 hours,,Player,
167,,172,TLC,,19-May,1906/509,"Discovery, Inc",24 hours,Full House,,Full House
,168,173,Investigation Discovery,,05-May,501/511,"Discovery, Inc",24 hours,,Full House,
169,,213,Quest,,29-Mar,2905/315,"Discovery, Inc",24 hours,Player,,Player
,170,,Quest Red,,6,603,"Discovery, Inc",24 hours,,Player,
,171,214,DMAX,,05-May,508/504,"Discovery, Inc",24 hours,,Full House,
,182,,Comedy Central Extra,,7,722,Paramount UK Partnership (Paramount British Pictures/Sky UK Ltd),09:00–06:00,,Full House,
,184,,BET,,4,405,ViacomCBS Networks UK & Australia,24 hours,,Player,
,189,,Sony Channel,,11,1113,Columbia Pictures Corporation Ltd,24 hours,,Player,
,192,,CBS Justice,,8,819,CBS AMC Networks UK Channels Partnership,09:00–06:00,,Player,
,197,,CBS Drama,,8,807,CBS AMC Networks UK Channels Partnership,09:00–05:00,,Player,
,198,,YouTube,Service,22,2204,"Google, Inc.",24 hours,,Player,
,204,,Netflix,Service,22,2206,"Netflix, Inc.",24 hours,,Premium,
,205,,Amazon Prime,Service,21,2105,Amazon,24 hours,,Premium,
208,,,Lifetime,,16,1604,A&E Networks UK (A&E Networks/Sky UK Ltd),24 hours,Full House,,
209,,222,Crime + Investigation,,16-Jun,1605/609,A&E Networks UK (A&E Networks/Sky UK Ltd),24 hours,Full House,,Full House
,216,,Blaze,,7,702,A&E Networks UK (A&E Networks/Sky UK Ltd),24 hours,,Player,
228,,,Virgin TV Ultra HD,Service,?,?,Virgin Media (Liberty Global),Varies,Full House,,
999,,,,,,,,,,,
,,,,,,,,,,,
Regional and audio description,,,,,,,,,,,
,,,,,,,,,,,
HD,SD,1,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
Regional,,,,,,,,,,,
,159 (Grimsby),,That’s TV Humber,,101,10139,That’s TV,06:00–00:00,,Player,
,159 (London & surrounding areas.),,London Live,,101,10138,ESTV (Lebedev Holdings Ltd),06:00–00:00,,Player,
,159 (Nottingham & surrounding areas),,Notts TV,,101,10141,Confetti Media Group,16:00–00:00,,Player,
,"159 (Brighton, Hove & surrounding areas)",,Latest TV,,101,10143,Latest TV Ltd,24 hours,,Player,
,"159 (Sheffield, Rotherham & surrounding areas)",,Sheffield Live TV,,101,10145,Sheffield Community Media Ltd,24 hours,,Player,
,159 (Belfast & surrounding areas),,NVTV,,101,10144,Northern Visions Ltd,24 hours,,Player,
,159 (Bristol & surrounding areas),,Bristol TV,,101,10147,Local Television Ltd,24 hours,,Player,
,159 (Cardiff & surrounding areas),,Cardiff TV,,101,10148,Local Television Ltd,24 hours,,Player,
,"159 (Leeds, Kirklees & surrounding area)",,Leeds TV,,101,10149,Local Television Ltd,24 hours,,Player,
,159 (Gateshead & Wearside),,Tyne & Wear TV,,101,10150,Local Television Ltd,24 hours,,Player,
,"159 (Liverpool, Wirral, Warrington, Burnley & parts of Preston)",,Liverpool TV,,101,10152,Local Television Ltd,24 hours,,Player,
,"159 (Birmingham, Wolverhampton & surrounding area)",,Birmingham TV,,101,10153,Local Television Ltd,24 hours,,Player,
,159 (Swansea & surrounding areas),,That's TV South Wales,,101,10155,That's TV,24 hours,,Player,
,159 (Cambridge & surrounding areas),,That's TV Cambridge,,101,10154,That's TV,24 hours,,Player,
,159 (Teeside),,Teeside TV,,101,10156,Local Television Ltd,24 hours,,Player,
,159 (Maidstone & Tonbridge),,KMTV,,101,10157,KMTV Television,24 hours,,Player,
,159 (Norwich),,That's TV East,,101,10142,That's TV,17:30-22:30,,Player,
,,,,,,,,(Mon–Fri),,,
Audio description,,,,,,,,,,,
,851,,BBC One,London,6,613,BBC,24 hours,,Player,
,,,,AD,,,,,,,
,852,,BBC Two,Network,6,614,BBC,24 hours,,Player,
,,,,AD,,,,,,,
,853,,ITV,London,4,415,ITV Network Ltd (ITV plc),24 hours,,Player,
,,,,AD,,,,,,,
,854,,Channel 4,London,102,10262,Channel Four Television Corporation,24 hours,,Player,
,,,,AD,,,,,,,
,855,,Channel 5,AD,8,812,ViacomCBS Networks UK & Australia,24 hours,,Player,
,856,,S4C,AD,11,1123,S4C Authority,07:00-00:00,,Player,
Local,,,,,,,,,,,
,858 (Select regions),,BBC One,Alternative regional variation,101,Various,BBC,24 hours,,Player,
,861,,BBC One,London,6,601,BBC,24 hours,,Player,
,862,,BBC One,Scotland,10,1003,BBC,24 hours,,Player,
,863,,BBC One,Northern Ireland,6,602,BBC,24 hours,,Player,
,864,,BBC One,Wales,10,1004,BBC,24 hours,,Player,
,865,,BBC Two,Network,6,605,BBC,24 hours,,Player,
870 (Select regions),,,ITV,Alternative regional variation,Various,Various,ITV Network Ltd (ITV plc),24 hours,,Player,
871 (Select regions),,,,,,,,,,,
,875 (NI),,RTÉ One,,101,10136,Raidió Teilifís Éireann,24 hours,,Player,
,876 (NI),,RTÉ2,,101,10137,Raidió Teilifís Éireann,24 hours,,Player,
,877 (NI),,TG4,Programmes in Irish,102,10250,Teilifís na Gaeilge,24 hours,,Player,
Interactive,,,,,,,,,,,
,991,,BBC Red Button 1,,6,629,BBC,24 hours,,Player,
,,,,,,,,,,,
Factual & Lifestyle,,,,,,,,,,,
,,,,,,,,,,,
HD,SD,1,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
Factual,,,,,,,,,,,
247,245,246,Eden,,18/02/2011,1801/202/1111,UKTV (BBC Studios),09:00–06:00,Full House,,
