HD,SD,1,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
"101 (Scot, Wales, NI)",101 (Eng),,BBC One,4 national HD & 17 regional SD variations (Virgin unavailable in CI or ScotB),?,?,BBC,24 hours,Player,,
108 (Eng),,,,On-demand,,,,,,,
905,BBC Radio 5 Live,On-Demand,22,2222,BBC,24 hours,Player,,,,
906,BBC World Service,,22,2221,BBC,24 hours,Player,,,,
907,BBC Radio 1Xtra,On-Demand,22,2209,BBC,24 hours,Player,,,,
908,BBC Radio 5 Live Extra,On-Demand,22,2223,BBC,24 hours,Player,,,,
909,BBC Radio 6 Music,On-Demand,22,2216,BBC,24 hours,Player,,,,
910,BBC Radio 4 Extra,On-Demand,22,2210,BBC,24 hours,Player,,,,
911,BBC Radio 4 LW,On-Demand,22,2225,BBC,24 hours,Player,,,,
912,BBC Asian Network,On-Demand,22,2211,BBC,24 hours,Player,,,,
913,BBC Radio Cymru 2,Programmes in Welsh.,22,2226,BBC,24 hours,Player,,,,
,,On-Demand,,,,,,,,,
915,Absolute Radio,,21,2115,Bauer Media,24 hours,Player,,,,
916,Smooth Radio,,21,2121,Global Radio,24 hours,Player,,,,
917,RTÉ Radio 1,,21,2119,Raidió Teilifís Éireann,24 hours,Player,,,,
918,Heart London,,21,2117,Global Radio,24 hours,Player,,,,
919,LBC 97.3,,21,2124,Global Radio,24 hours,Player,,,,
920,World Radio Network (WRN Radio),,21,2120,WRN Broadcast,24 hours,Player,,,,
921,Heart 80s,,21,2123,Global Radio,24 hours,Player,,,,
922,Classic FM,,21,2114,Global Radio,24 hours,Player,,,,
923,Gold Radio,,21,2111,Global Radio,24 hours,Player,,,,
924,Planet Rock,,21,2116,Bauer Media,24 hours,Player,,,,
927,Talksport,,21,2128,Wireless Group,24 hours,Player,,,,
928,Magic,,21,2125,Bauer Media,24 hours,Player,,,,
930,BBC Radio Scotland,On-Demand,22,2217,BBC,24 hours,Player,,,,
931,BBC Radio Wales,On-Demand,22,2219,BBC,24 hours,Player,,,,
932,BBC Radio Ulster,"Programmes in English, Irish and Ulster Scots",22,2218,BBC,24 hours,Player,,,,
,,On-Demand,,,,,,,,,
933,BBC Radio Foyle,On-Demand,22,2227,BBC,24 hours,Player,,,,
934,BBC Radio nan Gàidheal,Programmes in Scottish Gaelic,22,2220,BBC,24 hours,Player,,,,
,,On-Demand,,,,,,,,,
936,BBC Radio Cymru,Programmes in Welsh.,22,2208,BBC,24 hours,Player,,,,
,,On-Demand,,,,,,,,,
937,BBC London,On-Demand,22,2224,BBC,24 hours,Player,,,,
951,Absolute 80s,,26,2126,Bauer Media,24 hours,Player,,,,
952,Absolute Classic Rock,,21,2127,Bauer Media,24 hours,Player,,,,
958,Capital London,,21,2112,Global Radio,24 hours,Player,,,,
959,Capital Xtra,,21,2113,Global Radio,24 hours,Player,,,,
960,Radio X,,21,2118,Global Radio,24 hours,Player,,,,
963,Kiss FM,,21,2122,Bauer Media,24 hours,Player,,,,
,,,,,,,,,,,
Adult,,,,,,,,,,,
,,,,,,,,,,,
HD,SD,1,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
,969,,Adult Previews,,7,721,Virgin Media (Liberty Global),24 hours,,Player,
,970,,Television X,Pay-per-night,10,1010,Portland TV,20:00–05:30,,Pay-per-view,
,978,,,Subscription,2,204,,,,Premium,
,971,,Babes & Brazzers,Pay-per-night,7,712,Playboy TV UK/Benelux Ltd,24 hours,,Pay-per-view,
,972,,Adult Channel,Pay-per-night,2,205,Playboy TV UK/Benelux Ltd,24 hours,,Pay-per-view,
,980,,,Subscription,10,1025,,,,Premium,
,973,,XXX Girl Girl,Pay-per-night,3,320,Playboy TV UK/Benelux Ltd,22:00-05:30,,Pay-per-view,
,979,,,Subscription,4,417,,,,Premium,
,974,,TVX 40+,,10,1023,Playboy TV UK/Benelux Ltd,22:00-05:30,,Pay-per-view,
,981,,Babenation,PIN required 06:00-22:00,8,815,Cellcast Group,24 hours,,Premium,
,982,,Meet the Babes,PIN required 06:00-22:00,7,719,Escape Channel Ltd,24 hours,,Premium,
983,,,Pure Babes,,22,2207,Escape Channel Ltd,22:00-05:30,Pay-per-view,,
,,,,,,,,,,,
Information and pay-per-views,,,,,,,,,,,
,,,,,,,,,,,
HD,SD,1,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
,0,,Live Events Channel,Not available on TiVo boxes.,7,714,Virgin Media (Liberty Global),Varies,,Pay-per-view,
100,998,,Virgin Media Previews,,13,1308,Virgin Media (Liberty Global),24 hours,Player,,
,968,,For Parents,Divider from adult channels - parents' advisory,1,103/104,Virgin Media (Liberty Global),24 hours,,Player,
,,,,,,,,,,,
